[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.406][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.407][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:44.408][ERR] GetUploadState, handle=-1, pProgress is NULL.
